family,groups,seed,envelope_seconds,envelope_status,envelope_certified,envelope_objective,envelope_upper_bound,envelope_relative_gap,envelope_nodes,envelope_theta_integer_solves,envelope_interval_bound_evaluations,envelope_interval_splits,envelope_thresholds_covered_by_prunes,clique_seconds,clique_status,clique_certified,clique_objective,clique_upper_bound,clique_relative_gap,clique_nodes,clique_theta_integer_solves,clique_interval_bound_evaluations,clique_interval_splits,clique_thresholds_covered_by_prunes,enumeration_seconds,enumeration_status,enumeration_certified,enumeration_objective,enumeration_upper_bound,enumeration_relative_gap,enumeration_nodes,enumeration_theta_integer_solves,enumeration_interval_bound_evaluations,enumeration_interval_splits,enumeration_thresholds_covered_by_prunes,scip_seconds,scip_status,scip_certified,scip_objective,scip_upper_bound,scip_relative_gap,scip_nodes,scip_theta_integer_solves,scip_interval_bound_evaluations,scip_interval_splits,scip_thresholds_covered_by_prunes,clique_over_envelope_speedup,enumeration_over_envelope_speedup,scip_over_envelope_speedup,maximum_certified_objective_difference
dense_frontier,30,0,0.14863870850240346,optimal,True,732.980194744982,732.980194744982,0.0,575,10,21,10,19,0.15585856250254437,optimal,True,732.980194744982,732.980194744982,0.0,575,10,21,10,19,0.1315804789919639,optimal,True,732.980194744982,732.9801947449821,0.0,575,7,0,0,19,0.2619658124895068,optimal,True,732.9801947449821,732.9801947449822,0.0,49,0,0,0,0,1.0485731750018816,0.8852369636260414,1.762433319886326,1.1368683772161603e-13
dense_frontier,30,1,0.08956112500163727,optimal,True,734.4794777676801,734.4794777676801,0.0,168,8,19,9,21,0.08794329200463835,optimal,True,734.4794777676801,734.4794777676801,0.0,168,8,19,9,21,0.07453716649615671,optimal,True,734.4794777676801,734.4794777676802,0.0,168,4,0,0,21,0.04284202100825496,optimal,True,734.4794777676802,734.4794777676801,0.0,1,0,0,0,0,0.9819359906771008,0.8322491091396418,0.4783551011387113,1.1368683772161603e-13
dense_frontier,30,2,0.11823768699832726,optimal,True,731.3348377704928,731.3348377704928,0.0,301,10,21,10,19,0.11427010399347637,optimal,True,731.3348377704928,731.3348377704928,0.0,301,10,21,10,19,0.10032295901328325,optimal,True,731.3348377704928,731.3348377704928,0.0,301,6,0,0,19,0.2260289170080796,optimal,True,731.3348377704926,731.3348377704928,0.0,0,0,0,0,0,0.9664440069357325,0.8484854665222142,1.9116486692713912,1.1368683772161603e-13
correlated_risk,30,0,0.08407760398404207,optimal,True,629.049345181235,629.049345181235,0.0,384,4,13,6,16,0.08238418749533594,optimal,True,629.049345181235,629.049345181235,0.0,384,4,13,6,16,0.038189083512406796,optimal,True,629.049345181235,629.049345181235,0.0,89,1,0,0,16,0.7580996880133171,optimal,True,629.049345181235,629.049345181235,0.0,119,0,0,0,0,0.9798588874032668,0.4542123193669397,9.016666176134187,0.0
correlated_risk,30,1,0.13221450051059946,optimal,True,621.5917146437994,621.5917146437994,0.0,794,4,16,8,17,0.1269979584903922,optimal,True,621.5917146437994,621.5917146437994,0.0,794,4,16,8,17,0.12092729200958274,optimal,True,621.5917146437994,621.5917146437994,0.0,794,2,0,0,17,1.9395169375056867,optimal,True,621.5917146437994,621.5917146437995,0.0,1632,0,0,0,0,0.960544857031101,0.914629571965052,14.669472183576401,0.0
correlated_risk,30,2,0.32937514600052964,optimal,True,628.9714370125918,628.9714370125918,0.0,2221,5,16,8,16,0.3453380834980635,optimal,True,628.9714370125918,628.9714370125918,0.0,2221,5,18,9,16,0.3234421875094995,optimal,True,628.9714370125918,628.9714370125918,0.0,2221,1,0,0,16,2.7892636040051,optimal,True,628.9714370125918,628.9714370125918,0.0,3451,0,0,0,0,1.0484643048856765,0.9819872307820682,8.4683487442025,0.0
near_tie,30,0,0.10163374998955987,optimal,True,532.1505785023479,532.1505785023479,0.0,443,7,17,8,22,0.10206954200111795,optimal,True,532.1505785023479,532.1505785023479,0.0,443,7,17,8,22,0.09054293799272273,optimal,True,532.1505785023479,532.1505785023479,0.0,443,1,0,0,22,1.687221853993833,optimal,True,532.1505785023479,532.1505785023479,0.0,136,0,0,0,0,1.0042878670874866,0.8908747143741481,16.600999708926903,0.0
near_tie,30,1,0.2678120625059819,optimal,True,526.771638393551,526.771638393551,0.0,2006,7,18,9,21,0.268488708010409,optimal,True,526.771638393551,526.771638393551,0.0,2006,7,18,9,21,0.24890975050220732,optimal,True,526.771638393551,526.771638393551,0.0,1892,2,0,0,21,0.8956417500012321,optimal,True,526.771638393551,526.7716383935511,0.0,1032,0,0,0,0,1.0025265684379396,0.9294194898209547,3.3442920442809667,0.0
near_tie,30,2,0.17426450000493787,optimal,True,525.4966058909471,525.4966058909471,0.0,1027,9,22,11,19,0.1711320209869882,optimal,True,525.4966058909471,525.4966058909471,0.0,1027,9,22,11,19,0.15085049948538654,optimal,True,525.4966058909471,525.4966058909471,0.0,1027,3,0,0,19,0.8785592085187091,optimal,True,525.4966058909471,525.4966058909472,0.0,488,0,0,0,0,0.982024571740883,0.8656410197206666,5.041527152654813,0.0
many_breakpoints,30,0,5.0002301454806,time_limit,False,712.1424483650588,715.6929449042975,0.004985654973088505,47286,4,15,7,0,5.0002330415009055,time_limit,False,712.1424483650588,715.6929448866672,0.004985654948331762,47737,4,15,7,0,5.00039695801388,time_limit,False,713.229606853614,715.6763442087799,0.0034187763434754426,46721,9,0,0,0,0.05621141649316996,optimal,True,713.229606853614,713.2296068536139,0.0,1,0,0,0,0,1.000000579177402,1.0000333609710805,0.011241765850313109,0.0
many_breakpoints,30,1,5.004850146011449,time_limit,False,706.9778526602863,712.709932083279,0.008107862787247785,49210,2,1,0,0,5.0038922499952605,time_limit,False,706.9778526602863,712.7099320821164,0.008107862785603376,47693,2,1,0,0,1.124261667006067,optimal,True,712.2471229623782,712.2471229623782,0.0,6638,18,0,0,96,0.010051249992102385,optimal,True,712.2471229623782,712.247122962378,0.0,1,0,0,0,0,0.9998086064540909,0.22463443144287404,0.0020083018869431284,0.0
many_breakpoints,30,2,0.618880124995485,optimal,True,716.5517832866142,716.5517832866142,0.0,1888,47,97,48,107,0.609141749489936,optimal,True,716.5517832866142,716.5517832866142,0.0,1888,47,97,48,107,0.5858332295028958,optimal,True,716.5517832866142,716.5517832866142,0.0,1888,44,0,0,107,0.004517354493145831,optimal,True,716.5517832866141,716.5517832866141,0.0,1,0,0,0,0,0.9842645205230658,0.9466021057101645,0.00729923988620379,1.1368683772161603e-13
