compressed_query_seconds,compressed_storage_bytes,compressed_total_seconds,dense_query_seconds,dense_storage_bytes,dense_total_seconds,family,identity_error,instance,n,options,query_speedup,repeats,seed,storage_ratio,theta_count,total_speedup
0.000511999999616819,45292,0.002501707999726932,0.002079625000078522,117056,0.01389941599973099,dense_frontier,1.673470251262188e-10,dense_frontier_n90_m6_g9_s21,90,540,4.061767581318192,5,21,2.584474079307604,26,5.555970561411703
0.0004835420004383195,45292,0.0023249590003615594,0.002125750000232074,117056,0.013897457999519247,dense_frontier,1.2369127944111824e-10,dense_frontier_n90_m6_g9_s22,90,540,4.396205496740989,5,22,2.584474079307604,26,5.977506698981799
0.0004742500004795147,45292,0.002373334000367322,0.0020334170003479812,117056,0.013698875000045518,dense_frontier,7.275957614183426e-11,dense_frontier_n90_m6_g9_s23,90,540,4.287647861448584,5,23,2.584474079307604,26,5.771996271037004
0.0007541670001955936,89752,0.004281415999685123,0.004081209000105446,233696,0.027144165999743564,dense_frontier,3.7834979593753815e-10,dense_frontier_n180_m6_g13_s21,180,1080,5.411545452196903,5,21,2.603797129868972,26,6.339997328393196
0.0007645839996257564,89752,0.0042945839995809365,0.0040741250004430185,233696,0.027309832999890205,dense_frontier,4.0745362639427185e-10,dense_frontier_n180_m6_g13_s22,180,1080,5.328551215350039,5,22,2.603797129868972,26,6.359133504561812
0.0007351670001298771,89752,0.0043162499996469705,0.004044792000058806,233696,0.026988583000274957,dense_frontier,3.637978807091713e-10,dense_frontier_n180_m6_g13_s23,180,1080,5.5018682820967735,5,23,2.603797129868972,26,6.252784941206458
0.0012307919996601413,178672,0.008070124999903783,0.008088333000159764,466976,0.054436583000097016,dense_frontier,1.862645149230957e-09,dense_frontier_n360_m6_g18_s21,360,2160,6.571648988938176,5,21,2.613593624070923,26,6.7454448352096215
0.0012570830003824085,178672,0.008006334000128845,0.00805941700036783,466976,0.0542275410007278,dense_frontier,1.8335413187742233e-09,dense_frontier_n360_m6_g18_s22,360,2160,6.411205145496464,5,22,2.613593624070923,26,6.773080038861122
0.0012340829998720437,178672,0.008122500000354194,0.008151832999828912,466976,0.054107290999127144,dense_frontier,1.7462298274040222e-09,dense_frontier_n360_m6_g18_s23,360,2160,6.605579203889963,5,23,2.613593624070923,26,6.661408556080975
0.0022567920004803455,356512,0.01569050000034622,0.016265540999484074,933536,0.10954391699942789,dense_frontier,5.995389074087143e-09,dense_frontier_n720_m6_g26_s21,720,4320,7.207372675914327,5,21,2.6185261646171796,26,6.981544055129585
0.0022740419999536243,356512,0.015521833000093466,0.016224167000473244,933536,0.10866141699989385,dense_frontier,7.275957614183426e-09,dense_frontier_n720_m6_g26_s22,720,4320,7.134506311142939,5,22,2.6185261646171796,26,7.000553156269594
0.0023009579999779817,356512,0.015770083000461455,0.01621304099990084,933536,0.10818520799966791,dense_frontier,6.868503987789154e-09,dense_frontier_n720_m6_g26_s23,720,4320,7.046213359850978,5,23,2.6185261646171796,26,6.860154635616202
0.00045737499931419734,45220,0.0023185840000223834,0.0019948340004702914,104048,0.012369207999654463,correlated_risk,1.6007106751203537e-10,correlated_risk_n90_m6_g9_s21,90,540,4.361484566190564,5,21,2.3009287925696595,23,5.334811246663935
0.000496042000122543,45172,0.0023613329994987,0.0019614170005297638,95376,0.01156937499945343,correlated_risk,1.3096723705530167e-10,correlated_risk_n90_m6_g9_s22,90,540,3.9541349322138295,5,22,2.111396440272735,21,4.899510150372504
0.0004970840000169119,45220,0.0025243750005756738,0.0020520000007309136,104048,0.012506207999649632,correlated_risk,7.275957614183426e-11,correlated_risk_n90_m6_g9_s23,90,540,4.128074934339267,5,23,2.3009287925696595,23,4.954179944262497
0.0007620829992447398,89728,0.0045787919998474536,0.0042479590001676115,225040,0.027031333000195445,correlated_risk,5.820766091346741e-10,correlated_risk_n180_m6_g13_s21,180,1080,5.574142192356396,5,21,2.5080242510699002,25,5.903594878539147
0.0007048750003377791,89704,0.00433420900026249,0.00410333299987542,216384,0.02584433300035016,correlated_risk,5.820766091346741e-10,correlated_risk_n180_m6_g13_s22,180,1080,5.8213626499862885,5,22,2.412200124855079,24,5.962871887069813
0.0007597080002597068,89728,0.004275334000340081,0.004070541000146477,225040,0.026493542000025627,correlated_risk,4.94765117764473e-10,correlated_risk_n180_m6_g13_s23,180,1080,5.358033611275594,5,23,2.5080242510699002,25,6.196835615163214
0.0012272920002942556,178648,0.008114541999930225,0.008052499999394058,449680,0.052313959000457544,correlated_risk,1.3969838619232178e-09,correlated_risk_n360_m6_g18_s21,360,2160,6.561193259194544,5,21,2.517128655232636,25,6.44693921122195
0.001222792000589834,178672,0.008082666000518657,0.008189458000742889,466976,0.05439520799973252,correlated_risk,2.270098775625229e-09,correlated_risk_n360_m6_g18_s22,360,2160,6.697343453991004,5,22,2.613593624070923,26,6.7298596770226595
0.0012021249995086691,178672,0.00795945799927722,0.008109332999993057,466976,0.05419658299979346,correlated_risk,1.0477378964424133e-09,correlated_risk_n360_m6_g18_s23,360,2160,6.745831759016319,5,23,2.613593624070923,26,6.809079588674874
0.0021827079999638954,356512,0.015622124999936204,0.016286416000184545,933536,0.10928445799982,correlated_risk,9.778887033462524e-09,correlated_risk_n720_m6_g26_s21,720,4320,7.461564258917795,5,21,2.6185261646171796,26,6.995492482633847
0.0022350830004143063,356512,0.015567125000416127,0.016211957999985316,933536,0.10926887499954319,correlated_risk,9.080395102500916e-09,correlated_risk_n720_m6_g26_s22,720,4320,7.253403116117023,5,22,2.6185261646171796,26,7.019207143041654
0.00222429200039187,356512,0.015673292000428773,0.016343792000043322,933536,0.10963179200007289,correlated_risk,9.42964106798172e-09,correlated_risk_n720_m6_g26_s23,720,4320,7.3478625994985896,5,23,2.6185261646171796,26,6.994815894266099
0.0004749999998239218,45292,0.002389999999650172,0.0021006249999118154,117056,0.014064832999792998,near_tie,5.820766091346741e-11,near_tie_n90_m6_g9_s21,90,540,4.422368422506311,5,21,2.584474079307604,26,5.884867364791502
0.0004982090003977646,45292,0.0023661669993089163,0.0021013329997003893,117056,0.013848000000507454,near_tie,3.637978807091713e-11,near_tie_n90_m6_g9_s22,90,540,4.217774062738144,5,22,2.584474079307604,26,5.852503227604824
0.00046891599959053565,45292,0.002403125000455475,0.002074500000162516,117056,0.013845958999809227,near_tie,9.458744898438454e-11,near_tie_n90_m6_g9_s23,90,540,4.424033306549573,5,23,2.584474079307604,26,5.761647437060053
0.0007228340000438038,89752,0.004258041999491979,0.004040374999931373,233696,0.027377333000004,near_tie,4.3655745685100555e-10,near_tie_n180_m6_g13_s21,180,1080,5.589630537144802,5,21,2.603797129868972,26,6.429559173740031
0.000727375000678876,89752,0.004269791999831796,0.004115667000405665,233696,0.027551999999559484,near_tie,4.656612873077393e-10,near_tie_n180_m6_g13_s22,180,1080,5.658246429371943,5,22,2.603797129868972,26,6.452773343676898
0.0007162499996411498,89752,0.004320207999626291,0.0040549589994043345,233696,0.027286042000014277,near_tie,3.2014213502407074e-10,near_tie_n180_m6_g13_s23,180,1080,5.661373823994303,5,23,2.603797129868972,26,6.315909327137626
0.0012006249999103602,178672,0.008061624999754713,0.00816225000016857,466976,0.05418312499932654,near_tie,1.2223608791828156e-09,near_tie_n360_m6_g18_s21,360,2160,6.798334201584983,5,21,2.613593624070923,26,6.721117020572793
0.001208833000418963,178672,0.008037958999921102,0.008217500000682776,466976,0.05449037499965925,near_tie,9.022187441587448e-10,near_tie_n360_m6_g18_s22,360,2160,6.797878613369024,5,22,2.613593624070923,26,6.779130747020993
0.001241416999619105,178672,0.00806691699926887,0.008090583999546652,466976,0.05442608300018037,near_tie,6.111804395914078e-10,near_tie_n360_m6_g18_s23,360,2160,6.517217020573287,5,23,2.613593624070923,26,6.746825708645964
0.0022852090005471837,356512,0.015790750000633125,0.01631504200031486,933536,0.10962720899988199,near_tie,6.2282197177410126e-09,near_tie_n720_m6_g26_s21,720,4320,7.139409129059221,5,21,2.6185261646171796,26,6.942495384670552
0.0023403750001307344,356512,0.016083333999631577,0.016567791999477777,933536,0.11264604200005124,near_tie,6.984919309616089e-09,near_tie_n720_m6_g26_s22,720,4320,7.079118516713045,5,22,2.6185261646171796,26,7.003898694302539
0.002253499999824271,356512,0.015562457999294566,0.01621658300064155,933536,0.10915291699984664,near_tie,7.62520357966423e-09,near_tie_n720_m6_g26_s23,720,4320,7.196176171247449,5,23,2.6185261646171796,26,7.013860985507203
0.0005120000005263137,55492,0.0024730830000407877,0.007437000000209082,1959856,0.20585841600041022,many_breakpoints,7.275957614183426e-11,many_breakpoints_n90_m6_g9_s21,90,540,14.525390610476896,5,21,35.317811576443454,451,83.23959042095031
0.0005195419998926809,55492,0.002485459000126866,0.007382916000096884,1959856,0.20409420900068653,many_breakpoints,8.731149137020111e-11,many_breakpoints_n90_m6_g9_s22,90,540,14.210431498554371,5,22,35.317811576443454,451,82.11529902133525
0.0005116249994898681,55492,0.0024355830000786227,0.007420709000143688,1959856,0.20894408300046052,many_breakpoints,7.275957614183426e-11,many_breakpoints_n90_m6_g9_s23,90,540,14.504195470398713,5,23,35.317811576443454,451,85.78811848896778
0.0008164159999068943,110752,0.004502167000282498,0.02700333299981139,7807696,0.837832499999422,many_breakpoints,3.346940502524376e-10,many_breakpoints_n180_m6_g13_s21,180,1080,33.07545785836008,5,21,70.49711066165848,901,186.09538472181296
0.0007994999996299157,110752,0.004425500000252214,0.02690062500005297,7807696,0.8342612079995888,many_breakpoints,3.7834979593753815e-10,many_breakpoints_n180_m6_g13_s22,180,1080,33.64681052220779,5,22,70.49711066165848,901,188.5123054913667
0.000804207999863138,110752,0.004527916999904846,0.027078291000179888,7807696,0.8424756250005885,many_breakpoints,4.220055416226387e-10,many_breakpoints_n180_m6_g13_s23,180,1080,33.67075558162582,5,23,70.49711066165848,901,186.06251506339294
0.001518624999334861,221272,0.008567708000555285,0.0978762499998993,31167376,3.4124379159993623,many_breakpoints,1.1350493878126144e-09,many_breakpoints_n360_m6_g18_s21,360,2160,64.45057209170656,5,21,140.8554900755631,1801,398.290641531924
0.0014362910005729645,221272,0.00843095800064475,0.09770754100009071,31167376,3.4050824160003685,many_breakpoints,1.1641532182693481e-09,many_breakpoints_n360_m6_g18_s22,360,2160,68.02767751180872,5,22,140.8554900755631,1801,403.8784697705727
0.001533582999400096,221272,0.00857724999968923,0.09786370800065924,31167376,3.3999066249998577,many_breakpoints,1.3387762010097504e-09,many_breakpoints_n360_m6_g18_s23,360,2160,63.81376687074738,5,23,140.8554900755631,1801,396.3865603920887
0.002946167000118294,442312,0.016703041999790003,0.3699205000002621,124542736,13.819908832999317,many_breakpoints,4.831235855817795e-09,many_breakpoints_n720_m6_g26_s21,720,4320,125.55992242985857,5,21,281.5721391235146,3601,827.3887375229654
0.003003957999681006,442312,0.0166420420000577,0.3699477919999481,124542736,13.865322749999905,many_breakpoints,5.529727786779404e-09,many_breakpoints_n720_m6_g26_s22,720,4320,123.15345022774396,5,22,281.5721391235146,3601,833.1503279436401
0.0030295840006147046,442312,0.016746874999626016,0.37240483299956395,124542736,13.860450666999895,many_breakpoints,3.899913281202316e-09,many_breakpoints_n720_m6_g26_s23,720,4320,122.92276197788303,5,23,281.5721391235146,3601,827.6440032728149
